age
52.7
51.1
63.6
80
28
63
58.8
80
63.8
25.2
15.7
40.3
56.8
26.8
66.8
30.6
68.8
33.8
73.2
39.1
64.8
25.5
49.4
16.3
63.5
78.4
30.8
19.1
40.8
